日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
100/11/09,14490,711581,48.90,49.30,48.90,49.00,-0.35,15,
100/11/10,35300,1721270,48.50,49.25,48.50,48.70,-0.30,35,
100/11/11,33000,1603850,48.65,49.00,48.25,48.45,-0.25,27,
100/11/14,16400,798499,48.50,49.30,48.50,48.80,+0.35,18,
100/11/15,9000,439100,48.80,48.80,48.70,48.80,0.00,7,
100/11/16,20100,978600,49.00,49.40,48.30,48.35,-0.45,20,
100/11/17,34142,1654835,48.30,48.80,48.10,48.75,+0.40,28,
100/11/18,10128,490750,48.70,48.70,48.25,48.35,-0.40,13,
100/11/21,85500,4105874,48.35,48.35,47.85,47.95,-0.40,46,
100/11/22,58300,2777400,47.80,47.95,47.40,47.95,0.00,44,
100/11/23,41500,1980650,47.95,47.95,47.45,47.70,-0.25,35,
100/11/24,56153,2677263,47.00,47.85,47.00,47.80,+0.10,29,
100/11/25,51000,2415800,47.80,47.80,47.10,47.20,-0.60,34,
100/11/28,10000,473800,47.20,47.50,47.20,47.50,+0.30,9,
100/11/29,45310,2176804,47.90,48.45,47.80,48.45,+0.95,35,
100/11/30,77248,3684404,48.25,48.25,47.30,47.40,-1.05,46,
100/10/03,101000,4703100,46.80,46.80,46.50,46.55,-0.35,51,
100/10/04,88080,4049560,46.00,46.55,45.80,46.45,-0.10,69,
100/10/05,55100,2558550,46.45,46.80,46.15,46.40,-0.05,28,
100/10/06,35300,1647510,46.50,46.70,46.50,46.65,+0.25,29,
100/10/07,115092,5509808,46.85,48.65,46.85,48.00,+1.35,113,
100/10/11,25367,1228900,48.50,48.50,48.20,48.45,+0.45,28,
100/10/12,39040,1895395,48.40,48.60,48.40,48.50,+0.05,28,
100/10/13,23000,1110300,48.50,48.50,48.00,48.25,-0.25,21,
100/10/14,32000,1545600,48.30,48.65,48.20,48.20,-0.05,29,
100/10/17,19026,927464,48.50,48.90,48.50,48.60,+0.40,21,
100/10/18,73001,3505349,48.10,48.50,47.90,48.00,-0.60,24,
100/10/19,29000,1392150,48.20,48.20,47.90,48.00,0.00,21,
100/10/20,30050,1440290,48.00,48.05,47.60,48.00,0.00,24,
100/10/21,6150,295275,48.00,48.00,48.00,48.00,0.00,8,
100/10/24,57020,2780016,48.00,48.90,48.00,48.80,+0.80,49,
100/10/25,29300,1427839,48.80,48.80,48.70,48.70,-0.10,21,
100/10/26,36100,1752330,48.65,48.70,48.20,48.65,-0.05,23,
100/10/27,52537,2562940,48.65,49.00,48.50,49.00,+0.35,44,
100/10/28,63554,3145812,49.70,49.80,49.10,49.10,+0.10,54,
100/10/31,41880,2053242,49.20,49.40,48.60,48.90,-0.20,41,
100/09/01,56495,2843097,50.50,50.70,50.20,50.30,-0.10,53,
100/09/02,47000,2362700,50.30,50.30,50.20,50.30,0.00,37,
100/09/05,97321,4867409,50.30,50.30,49.90,50.00,-0.30,79,
100/09/06,134400,6699580,49.90,50.00,49.70,49.70,-0.30,77,
100/09/07,45030,2244280,50.00,50.00,49.70,49.90,+0.20,40,
100/09/08,66736,3324400,49.90,50.00,49.70,49.80,-0.10,56,
100/09/09,94360,4699321,49.80,49.95,49.50,49.70,-0.10,49,
100/09/13,41594,2068600,49.50,50.00,49.50,49.70,0.00,45,
100/09/14,98130,4830711,49.70,49.70,48.95,49.15,-0.55,73,
100/09/15,53767,2653415,49.90,49.90,49.15,49.15,0.00,54,
100/09/16,53010,2632600,49.50,49.90,49.30,49.50,+0.35,52,
100/09/19,25000,1243500,49.55,49.80,49.55,49.80,+0.30,24,
100/09/20,23741,1177751,49.70,50.00,49.50,49.55,-0.25,26,
100/09/21,30183,1503635,49.55,49.90,49.55,49.90,+0.35,33,
100/09/22,69810,3449657,49.90,49.95,49.10,49.15,-0.75,63,
100/09/23,255173,12303300,48.50,49.00,47.90,47.90,-1.25,197,
100/09/26,216701,10189505,47.90,47.90,46.20,46.20,-1.70,150,
100/09/27,160410,7532951,46.50,47.60,46.20,46.90,+0.70,105,
100/09/28,41958,1975904,47.50,47.70,46.55,47.30,+0.40,40,
100/09/29,91273,4293617,47.00,47.25,46.80,47.05,-0.25,74,
100/09/30,57300,2696789,47.20,47.30,46.85,46.90,-0.15,60,
100/08/01,234677,12489886,52.50,53.50,52.50,53.50,+1.10,133,
100/08/02,129050,6856980,53.50,53.50,52.90,53.10,-0.40,84,
100/08/03,251402,13449046,53.00,53.80,53.00,53.70,+0.60,153,
100/08/04,165360,8846514,54.00,54.00,53.20,53.40,-0.30,115,
100/08/05,325890,16825612,51.00,52.50,51.00,51.60,-1.80,226,
100/08/08,436694,21976150,51.50,51.50,49.10,49.60,-2.00,259,
100/08/09,363601,17662751,48.10,51.20,48.00,51.20,+1.60,246,
100/08/10,241310,12390520,52.00,52.00,51.00,51.70,+0.50,183,
100/08/11,183400,9317800,50.70,51.40,50.30,51.30,-0.40,118,
100/08/12,183289,9386528,51.50,51.60,50.90,50.90,-0.40,113,
100/08/15,146118,7512911,51.40,51.70,51.00,51.60,+0.70,83,
100/08/16,117635,6018364,52.00,52.00,51.00,51.00,-0.60,114,
100/08/17,67105,3447160,51.30,51.60,51.10,51.20,+0.20,62,
100/08/18,359201,18043852,51.20,51.20,49.60,51.00,-0.20,217,
100/08/19,141431,7046954,48.90,50.40,48.90,50.30,-0.70,122,
100/08/22,146422,7368410,50.30,51.00,49.90,50.30,0.00,87,
100/08/23,70306,3562570,50.80,50.90,50.30,50.90,+0.60,58,
100/08/24,60152,3034904,50.50,50.70,50.30,50.40,-0.50,47,
100/08/25,73400,3686500,50.10,50.70,50.10,50.10,-0.30,50,
100/08/26,77285,3870377,50.10,50.50,49.80,50.50,+0.40,53,
100/08/29,81052,4098752,50.50,50.80,50.00,50.80,+0.30,64,
100/08/30,27350,1387400,50.90,50.90,50.50,50.60,-0.20,25,
100/08/31,91579,4610475,50.10,50.80,50.10,50.40,-0.20,75,
100/07/01,971989,53262794,54.60,55.10,54.60,54.70,+0.30,472,
100/07/04,479484,24831413,51.50,52.20,51.50,51.80,X0.00,348,
100/07/05,252722,12980734,51.90,52.20,51.10,51.30,-0.50,173,
100/07/06,97000,4992300,51.30,51.90,51.10,51.50,+0.20,77,
100/07/07,75000,3849300,51.70,51.70,51.20,51.40,-0.10,53,
100/07/08,80276,4138694,51.30,52.00,51.30,51.50,+0.10,65,
100/07/11,68300,3510209,51.50,51.50,51.30,51.50,0.00,51,
100/07/12,154000,7888200,51.50,51.50,51.10,51.30,-0.20,86,
100/07/13,73100,3742400,51.30,51.30,51.10,51.20,-0.10,57,
100/07/14,110069,5652988,51.30,51.50,51.10,51.20,0.00,74,
100/07/15,94227,4855457,51.50,51.80,51.20,51.60,+0.40,74,
100/07/18,198300,10263600,51.80,52.00,51.60,51.90,+0.30,130,
100/07/19,124002,6442504,52.00,52.30,51.60,51.90,0.00,78,
100/07/20,176790,9180680,51.90,52.00,51.80,52.00,+0.10,126,
100/07/21,141684,7353668,52.00,52.30,51.80,52.30,+0.30,90,
100/07/22,170523,8999304,52.20,53.00,52.20,52.70,+0.40,119,
100/07/25,97258,5080544,52.70,52.70,52.10,52.20,-0.50,69,
100/07/26,71409,3746530,52.20,52.70,52.20,52.40,+0.20,59,
100/07/27,81279,4259142,52.40,52.70,52.20,52.70,+0.30,49,
100/07/28,89001,4661352,52.50,52.70,52.20,52.20,-0.50,48,
100/07/29,128000,6695700,52.20,52.60,52.00,52.40,+0.20,77,
100/06/01,171681,9135893,52.90,53.40,52.90,53.20,+0.40,125,
100/06/02,110769,5870409,53.20,53.30,52.80,53.20,0.00,74,
100/06/03,78082,4145555,53.20,53.20,52.90,53.20,0.00,55,
100/06/07,93038,4921557,53.20,53.30,52.80,53.00,-0.20,60,
100/06/08,69088,3662352,53.10,53.20,52.80,53.20,+0.20,49,
100/06/09,70100,3712219,53.20,53.30,52.80,52.90,-0.30,60,
100/06/10,103001,5421152,52.90,53.10,52.50,52.50,-0.40,58,
100/06/13,142620,7446045,52.50,52.50,52.10,52.10,-0.40,108,
100/06/14,144033,7552141,52.50,52.70,52.30,52.70,+0.60,104,
100/06/15,336100,17774800,52.70,53.30,52.50,52.90,+0.20,209,
100/06/16,60132,3174609,52.90,53.10,52.50,53.00,+0.10,53,
100/06/17,101007,5361071,53.10,53.30,52.90,53.00,0.00,66,
100/06/20,81150,4297050,53.50,53.50,52.50,52.70,-0.30,55,
100/06/21,59069,3121791,53.20,53.20,52.60,53.00,+0.30,50,
100/06/22,106532,5636296,53.00,53.30,52.70,53.00,0.00,85,
100/06/23,132004,6960225,53.20,53.20,52.50,53.00,0.00,89,
100/06/24,101200,5352100,53.00,53.10,52.70,53.10,+0.10,77,
100/06/27,80149,4254998,53.10,53.30,52.70,53.00,-0.10,69,
100/06/28,130311,6942994,53.20,53.40,53.00,53.40,+0.40,82,
100/06/29,256721,13742242,53.50,53.70,53.40,53.60,+0.20,137,
100/06/30,436567,23659568,53.70,54.60,53.70,54.40,+0.80,243,
100/05/03,132323,7041179,53.00,53.60,53.00,53.40,+0.40,74,
